Primary_Key,Rank,Nom,Selection,Club,Poste,Points,Confederation,Type,Year
377,1,Rald[],Bresil,Inter Milan  Real Madrid,Attaquant,169,UEFA,3,2002
378,2,RbrCarl,Bresil,Real Madrid,Attaquant,145,UEFA,3,2002
379,3,OlivrKah[],Allemagne,Bayern Munich,Attaquant,110,UEFA,1,2002
380,4,ZidiZida,France,Real Madrid,Attaquant,78,UEFA,1,2002
381,5,MichalBallack[],Allemagne,Bayer Leverkusen  Bayern Munich,Attaquant,71,UEFA,1,2002
382,6,ThirryHry,France,Arsenal,Attaquant,54,UEFA,1,2002
383,7,Raul,Espagne,Real Madrid,Attaquant,38,UEFA,1,2002
384,8,Rivald[],Bresil,FC Barcelone  Milan AC,Attaquant,31,UEFA,3,2002
385,9,YıldırayBaurk,Turkey,Bayer Leverkusen,Attaquant,13,UEFA,1,2002
386,10,AladrDlPir,Italie,Juventus FC,Attaquant,12,UEFA,1,2002
387,11,HaaSa,Turkey,Galatasaray,Attaquant,10,UEFA,1,2002
388,12,Raldih,Bresil,Paris Saint-Germain,Attaquant,8,UEFA,3,2002
389,13,MichalOw,Angleterre,Liverpool,Attaquant,5,UEFA,1,2002
390,13,RuudvaNilry,Pays-Bas,Manchester United,Attaquant,5,UEFA,1,2002
391,15,BrdSchidr,Allemagne,Bayer Leverkusen,Attaquant,4,UEFA,1,2002
392,15,JuaCarlValró,Espagne,Deportivo La Corogne,Attaquant,4,UEFA,1,2002
393,15,Cafu,Bresil,Roma,Attaquant,4,UEFA,3,2002
394,15,ParickViira,France,Arsenal,Attaquant,4,UEFA,1,2002
395,19,Luci,Bresil,Bayer Leverkusen,Attaquant,3,UEFA,3,2002
396,19,LuiFig,Portugal,Real Madrid,Attaquant,3,UEFA,1,2002
397,21,PapaBubaDip,Senegal,Lens,Attaquant,2,UEFA,2,2002
398,21,ElHadjiDiuf,Senegal,Lens  Liverpool,Attaquant,2,UEFA,2,2002
399,21,RiFrdiad,Angleterre,Leeds United  Manchester United,Attaquant,2,UEFA,1,2002
400,24,RubéBaraja,Espagne,Valencia,Attaquant,1,UEFA,1,2002
401,24,FilippIzaghi,Italie,Milan AC,Attaquant,1,UEFA,1,2002
402,24,RyMakaay,Pays-Bas,Deportivo La Corogne,Attaquant,1,UEFA,1,2002
